property_type,sector_info,society,price,price_per_sqft,area,areaWithType,carpet_area,built_up_area,super_built_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,store room,pooja room,others,servant room,furnishing_type,luxury_score
ind. house,sector 7,,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),900.0,,,3.0,2.0,0,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 49,orchid petals,4.21,11835.0,3557.25,Super Built up area 3557(330.46 sq.m.),,,3557.0,5.0,6.0,3+ ,14.0,South-East,Relatively New,0,0,1,0,1,1,35
flat,sector 79,godrej,1.18,8532.0,1383.03,Super Built up area 1383(128.48 sq.m.),,,1383.0,2.0,2.0,3 ,7.0,North-West,Relatively New,0,0,0,0,0,1,158
flat,sector 69,tulip violet,1.31,8517.0,1538.1,Super Built up area 1538(142.88 sq.m.),,,1538.0,3.0,3.0,2 ,12.0,East,Relatively New,0,0,1,0,0,2,174
flat,sector 53,tulip monsella,8.25,28000.0,2946.43,Super Built up area 2940(273.13 sq.m.),,,2940.0,3.0,4.0,3 ,8.0,,Under construction,0,0,0,0,1,0,35
flat,sector 56,kendriya vihar,0.47,7768.0,605.05,Carpet area: 605 (56.21 sq.m.),605.0,,,1.0,1.0,1 ,3.0,,old Property,0,0,0,0,0,2,52
flat,sector 90,dlf regal gardens,1.25,10416.0,1200.08,Super Built up area 1702(158.12 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1200.0,,1702.0,3.0,3.0,3 ,18.0,North,Moderately old,0,0,0,0,1,1,100
flat,sector 70,shree vardhman victoria,1.64,8410.0,1950.06,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1161.0,,1950.0,3.0,5.0,3 ,8.0,North-East,Relatively New,0,0,0,0,1,1,126
flat,sector 83,vatika gurgaon,0.87,6987.0,1245.17,Super Built up area 1245(115.66 sq.m.),,,1245.0,2.0,2.0,2 ,3.0,East,Moderately old,0,0,0,0,0,1,35
ind. house,sector 3a,,0.47,10601.0,443.0,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),432.0,441.0,,2.0,2.0,1 ,2.0,East,New Property,1,0,0,0,0,2,73
flat,sector 85,ss the leaf,2.1,7467.0,2812.37,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2400.0,2600.0,2812.0,4.0,4.0,3 ,7.0,North,Relatively New,1,0,1,0,1,1,49
ind. house,sector 67,,1.5,8642.0,1736.0,Carpet area: 180 (150.5 sq.m.),1620.0,,,5.0,3.0,2 ,2.0,,New Property,0,0,0,0,0,1,0
flat,sector 43,kamroon court,2.75,13750.0,2000.0,Carpet area: 2000 (185.81 sq.m.),2000.0,,,3.0,4.0,3+ ,5.0,North-East,Moderately old,0,0,0,1,1,2,49
flat,sector 84,antriksh heights,0.85,4927.0,1725.19,Super Built up area 1725(160.26 sq.m.),,,1725.0,3.0,3.0,3+ ,10.0,North,Relatively New,1,0,0,0,0,1,52
flat,sector 93,signature global orchard avenue 2,,,,Carpet area: 577.11 (53.62 sq.m.),577.0,,,2.0,2.0,3 ,11.0,East,Under construction,0,0,0,0,0,1,104
flat,sector 72,tata primanti,3.85,13253.0,2905.0,Super Built up area 2905(269.88 sq.m.),,,2905.0,4.0,5.0,3+ ,13.0,North,Relatively New,0,0,0,0,1,2,174
